audit,strategy,model,metric,value,ci_low,ci_high,n
ai_fair_recruitment,baseline,logistic_regression,accuracy,0.7504119330500391,0.7448616772179343,0.7560066342901743,23062
ai_fair_recruitment,baseline,logistic_regression,auc,0.7467772416519018,,,23062
ai_fair_recruitment,baseline,logistic_regression,f1,0.3314750290360047,0.31872063019467123,0.34406019728857223,23062
ai_fair_recruitment,baseline,random_forest,accuracy,0.7056629954036944,0.6995479576792993,0.7114734194779291,23062
ai_fair_recruitment,baseline,random_forest,auc,0.6681590836730593,,,23062
ai_fair_recruitment,baseline,random_forest,f1,0.36891037560431383,0.357061212199802,0.37969632440325546,23062
ai_fair_recruitment,baseline,gradient_boosting,accuracy,0.7509756309079871,0.7451218454600642,0.7565258867400919,23062
ai_fair_recruitment,baseline,gradient_boosting,auc,0.7464366713826046,,,23062
ai_fair_recruitment,baseline,gradient_boosting,f1,0.313777034293225,0.3005607327052049,0.3266334008360295,23062
ai_fair_recruitment,unawareness,logistic_regression,accuracy,0.7510189922816755,0.7454242910415402,0.7566126094874686,23062
ai_fair_recruitment,unawareness,logistic_regression,auc,0.7467516584251931,,,23062
ai_fair_recruitment,unawareness,logistic_regression,f1,0.33217027215631545,0.31946511966462193,0.34480496793036386,23062
ai_fair_recruitment,unawareness,random_forest,accuracy,0.7005463533084728,0.6946492064868615,0.7063567773827075,23062
ai_fair_recruitment,unawareness,random_forest,auc,0.659641600227349,,,23062
ai_fair_recruitment,unawareness,random_forest,f1,0.3635023041474655,0.35157186036673027,0.3744167265946128,23062
ai_fair_recruitment,unawareness,gradient_boosting,accuracy,0.7506721012921689,0.7451218454600642,0.7563090798716503,23062
ai_fair_recruitment,unawareness,gradient_boosting,auc,0.746231574032812,,,23062
ai_fair_recruitment,unawareness,gradient_boosting,f1,0.2853591846880437,0.27183722399204074,0.29881633838851235,23062
ai_fair_recruitment,unawareness_proxy_removal,logistic_regression,accuracy,0.7510189922816755,0.7454242910415402,0.7566126094874686,23062
ai_fair_recruitment,unawareness_proxy_removal,logistic_regression,auc,0.7467530903405082,,,23062
ai_fair_recruitment,unawareness_proxy_removal,logistic_regression,f1,0.33217027215631545,0.31946511966462193,0.34480496793036386,23062
ai_fair_recruitment,unawareness_proxy_removal,random_forest,accuracy,0.74781025062874,0.7423022721359813,0.7536206747029746,23062
ai_fair_recruitment,unawareness_proxy_removal,random_forest,auc,0.7327817896307106,,,23062
ai_fair_recruitment,unawareness_proxy_removal,random_forest,f1,0.31817116060961315,0.3050946221806825,0.33082612901061237,23062
ai_fair_recruitment,unawareness_proxy_removal,gradient_boosting,accuracy,0.7511057150290521,0.7454253750758824,0.7567860549822218,23062
ai_fair_recruitment,unawareness_proxy_removal,gradient_boosting,auc,0.7459871333385909,,,23062
ai_fair_recruitment,unawareness_proxy_removal,gradient_boosting,f1,0.28713363139592646,0.27424722135523416,0.30017564561817356,23062
ai_fair_recruitment,in_processing,logistic_regression,accuracy,0.7510189922816755,0.7454242910415402,0.7566126094874686,23062
ai_fair_recruitment,in_processing,logistic_regression,auc,0.58444392505367,,,23062
ai_fair_recruitment,in_processing,logistic_regression,f1,0.33217027215631545,0.31946511966462193,0.34480496793036386,23062
ai_fair_recruitment,in_processing,random_forest,accuracy,0.747680166507675,0.7421732720492585,0.7536217587373167,23062
ai_fair_recruitment,in_processing,random_forest,auc,0.5761853485699193,,,23062
ai_fair_recruitment,in_processing,random_forest,f1,0.31176818450620936,0.2983432321963557,0.32468375992416165,23062
ai_fair_recruitment,in_processing,gradient_boosting,accuracy,0.7510623536553638,0.7453386523285057,0.756787139016564,23062
ai_fair_recruitment,in_processing,gradient_boosting,auc,0.5730598991655041,,,23062
ai_fair_recruitment,in_processing,gradient_boosting,f1,0.29808044993275457,0.28529256289442434,0.31116645519463304,23062
ai_fair_recruitment,post_processing,logistic_regression,accuracy,0.750542017171104,0.7450351227126876,0.7561800797849275,23062
ai_fair_recruitment,post_processing,logistic_regression,auc,,,,23062
ai_fair_recruitment,post_processing,logistic_regression,f1,0.313566400190908,0.30123472370000237,0.3264580712486476,23062
ai_fair_recruitment,post_processing,random_forest,accuracy,0.7459023501864539,0.7404377330673836,0.7516694128870003,23062
ai_fair_recruitment,post_processing,random_forest,auc,,,,23062
ai_fair_recruitment,post_processing,random_forest,f1,0.24562306900102984,0.23244334500338618,0.2579991932719506,23062
ai_fair_recruitment,post_processing,gradient_boosting,accuracy,0.7525800017344549,0.7471143005810424,0.758303703061313,23062
ai_fair_recruitment,post_processing,gradient_boosting,auc,,,,23062
ai_fair_recruitment,post_processing,gradient_boosting,f1,0.3414127423822715,0.32861040919582885,0.35417157284858,23062
benefits_denial,baseline,logistic_regression,accuracy,0.8033164440350069,0.7939505604176262,0.8131467833563641,6513
