audit,strategy,protected_attribute,metric,mean_value,n_models_significant,n_models
ai_fair_recruitment,baseline,gender,accuracy_equality_diff,0.018759582195967517,3,3
ai_fair_recruitment,baseline,gender,demographic_parity_diff,-0.05805161988277327,3,3
ai_fair_recruitment,baseline,gender,disparate_impact_ratio,0.6114123555062624,3,3
ai_fair_recruitment,baseline,gender,equal_opportunity_diff,-0.09670808574090346,3,3
ai_fair_recruitment,baseline,gender,equalized_odds_diff,-0.09670808574090346,3,3
ai_fair_recruitment,baseline,gender,predictive_parity_diff,-0.00035830063258781203,0,3
ai_fair_recruitment,in_processing,gender,accuracy_equality_diff,0.016937984357722757,3,3
ai_fair_recruitment,in_processing,gender,demographic_parity_diff,-0.006099143138382131,0,3
ai_fair_recruitment,in_processing,gender,disparate_impact_ratio,0.9435337532870739,0,3
ai_fair_recruitment,in_processing,gender,equal_opportunity_diff,-0.0009265697221358948,0,3
ai_fair_recruitment,in_processing,gender,equalized_odds_diff,-0.0023908232387731265,0,3
ai_fair_recruitment,in_processing,gender,predictive_parity_diff,-0.014498129640443613,0,3
ai_fair_recruitment,post_processing,gender,accuracy_equality_diff,0.020693545128741293,3,3
ai_fair_recruitment,post_processing,gender,demographic_parity_diff,-0.004053128904496328,0,3
ai_fair_recruitment,post_processing,gender,disparate_impact_ratio,0.9652445595829292,0,3
ai_fair_recruitment,post_processing,gender,equal_opportunity_diff,0.00957327034315289,1,3
ai_fair_recruitment,post_processing,gender,equalized_odds_diff,0.007562638262904857,1,3
ai_fair_recruitment,post_processing,gender,predictive_parity_diff,0.006542289138942022,0,3
ai_fair_recruitment,unawareness,gender,accuracy_equality_diff,0.01772886820449245,3,3
ai_fair_recruitment,unawareness,gender,demographic_parity_diff,-0.0062165289275871866,0,3
ai_fair_recruitment,unawareness,gender,disparate_impact_ratio,0.9522260262099498,0,3
ai_fair_recruitment,unawareness,gender,equal_opportunity_diff,0.003025469571707027,0,3
ai_fair_recruitment,unawareness,gender,equalized_odds_diff,0.00116562618774575,0,3
ai_fair_recruitment,unawareness,gender,predictive_parity_diff,-0.011391648469388782,0,3
ai_fair_recruitment,unawareness_proxy_removal,gender,accuracy_equality_diff,0.017969921061478693,3,3
ai_fair_recruitment,unawareness_proxy_removal,gender,demographic_parity_diff,-0.006538161770028593,0,3
ai_fair_recruitment,unawareness_proxy_removal,gender,disparate_impact_ratio,0.9390780576144864,0,3
ai_fair_recruitment,unawareness_proxy_removal,gender,equal_opportunity_diff,0.00013877844989274948,0,3
ai_fair_recruitment,unawareness_proxy_removal,gender,equalized_odds_diff,-0.006008141284380282,0,3
ai_fair_recruitment,unawareness_proxy_removal,gender,predictive_parity_diff,-0.009741256115463984,0,3
benefits_denial,baseline,age,accuracy_equality_diff,-0.052165602462380035,3,3
benefits_denial,baseline,age,demographic_parity_diff,0.04125991794771907,2,3
benefits_denial,baseline,age,disparate_impact_ratio,1.285760819233153,2,3
benefits_denial,baseline,age,equal_opportunity_diff,-0.02391304347826086,0,3
benefits_denial,baseline,age,equalized_odds_diff,-0.02391304347826086,0,3
benefits_denial,baseline,age,predictive_parity_diff,-0.011689905287462943,0,3
benefits_denial,baseline,age_x_race,intersectional_demographic_parity_diff,-0.02708073470785335,0,3
benefits_denial,baseline,national_origin,accuracy_equality_diff,0.029998669195195855,2,3
benefits_denial,baseline,national_origin,demographic_parity_diff,0.032459327278171475,1,3
benefits_denial,baseline,national_origin,disparate_impact_ratio,1.342472788787177,1,3
benefits_denial,baseline,national_origin,equal_opportunity_diff,0.15725820073646157,1,3
benefits_denial,baseline,national_origin,equalized_odds_diff,0.15725820073646157,1,3
benefits_denial,baseline,national_origin,predictive_parity_diff,-0.050501555350859983,1,3
benefits_denial,baseline,national_origin_x_age,intersectional_demographic_parity_diff,0.10361666575190424,1,3
benefits_denial,baseline,national_origin_x_race,intersectional_demographic_parity_diff,-0.022567114093959718,2,3
benefits_denial,baseline,race,accuracy_equality_diff,0.07961307857148188,3,3
benefits_denial,baseline,race,demographic_parity_diff,-0.08651026538937297,3,3
benefits_denial,baseline,race,disparate_impact_ratio,0.5457551729632227,3,3
benefits_denial,baseline,race,equal_opportunity_diff,-0.004825526047992597,1,3
benefits_denial,baseline,race,equalized_odds_diff,-0.005261588683849692,2,3
benefits_denial,baseline,race,predictive_parity_diff,-0.0727969937452656,1,3
benefits_denial,baseline,sex,accuracy_equality_diff,0.1181809820874365,3,3
benefits_denial,baseline,sex,demographic_parity_diff,-0.15398047103039494,3,3
benefits_denial,baseline,sex,disparate_impact_ratio,0.3052463554185573,3,3
benefits_denial,baseline,sex,equal_opportunity_diff,-0.09886480908152734,2,3
benefits_denial,baseline,sex,equalized_odds_diff,-0.1042629556068592,3,3
benefits_denial,baseline,sex,predictive_parity_diff,-0.038691389197328584,1,3
benefits_denial,baseline,sex_x_age,intersectional_demographic_parity_diff,-0.13274290848414838,3,3
benefits_denial,baseline,sex_x_national_origin,intersectional_demographic_parity_diff,-0.15202210253645485,3,3
benefits_denial,baseline,sex_x_race,intersectional_demographic_parity_diff,-0.17612014629518083,3,3
benefits_denial,in_processing,age,accuracy_equality_diff,-0.0636524652713315,3,3
benefits_denial,in_processing,age,demographic_parity_diff,0.026463395024718145,2,3
benefits_denial,in_processing,age,disparate_impact_ratio,1.4075994287789408,2,3
benefits_denial,in_processing,age,equal_opportunity_diff,-0.005745341614906835,0,3
benefits_denial,in_processing,age,equalized_odds_diff,-0.0027832561280419963,1,3
benefits_denial,in_processing,age,predictive_parity_diff,-0.060806935388602344,2,3
benefits_denial,in_processing,age_x_race,intersectional_demographic_parity_diff,0.009342822902144938,1,3
benefits_denial,in_processing,national_origin,accuracy_equality_diff,0.03420318062348208,1,3
benefits_denial,in_processing,national_origin,demographic_parity_diff,-0.0028048374754632843,0,3
benefits_denial,in_processing,national_origin,disparate_impact_ratio,0.9701070192650847,0,3
benefits_denial,in_processing,national_origin,equal_opportunity_diff,0.019759467585554524,0,3
benefits_denial,in_processing,national_origin,equalized_odds_diff,0.020184123472445165,0,3
benefits_denial,in_processing,national_origin,predictive_parity_diff,-0.058994861617599335,0,3
benefits_denial,in_processing,national_origin_x_age,intersectional_demographic_parity_diff,0.03428224690047995,0,3
benefits_denial,in_processing,national_origin_x_race,intersectional_demographic_parity_diff,0.0181727388942154,0,3
benefits_denial,in_processing,race,accuracy_equality_diff,0.10554871113301323,3,3
benefits_denial,in_processing,race,demographic_parity_diff,-0.015469141609857956,0,3
benefits_denial,in_processing,race,disparate_impact_ratio,0.8043701764602568,1,3
benefits_denial,in_processing,race,equal_opportunity_diff,0.0765792382015341,1,3
benefits_denial,in_processing,race,equalized_odds_diff,0.0765792382015341,1,3
benefits_denial,in_processing,race,predictive_parity_diff,-0.1708829589591838,2,3
benefits_denial,in_processing,sex,accuracy_equality_diff,0.14590184949242288,3,3
benefits_denial,in_processing,sex,demographic_parity_diff,-0.022111490829239053,2,3
benefits_denial,in_processing,sex,disparate_impact_ratio,0.7329595413513145,2,3
benefits_denial,in_processing,sex,equal_opportunity_diff,0.08145363408521304,2,3
benefits_denial,in_processing,sex,equalized_odds_diff,0.08145363408521304,2,3
benefits_denial,in_processing,sex,predictive_parity_diff,-0.2751470812855598,3,3
benefits_denial,in_processing,sex_x_age,intersectional_demographic_parity_diff,0.004150087708039196,0,3
benefits_denial,in_processing,sex_x_national_origin,intersectional_demographic_parity_diff,-0.029933906590643822,0,3
benefits_denial,in_processing,sex_x_race,intersectional_demographic_parity_diff,-0.02047827422078919,1,3
benefits_denial,post_processing,age,accuracy_equality_diff,-0.05733983928384834,3,3
benefits_denial,post_processing,age,demographic_parity_diff,0.0276269563250155,2,3
benefits_denial,post_processing,age,disparate_impact_ratio,1.2639874429520666,2,3
benefits_denial,post_processing,age,equal_opportunity_diff,-0.014803312629399582,0,3
benefits_denial,post_processing,age,equalized_odds_diff,-0.009758997512944345,1,3
benefits_denial,post_processing,age,predictive_parity_diff,-0.02092516438755765,0,3
benefits_denial,post_processing,age_x_race,intersectional_demographic_parity_diff,-0.034827695844645,0,3
benefits_denial,post_processing,national_origin,accuracy_equality_diff,0.03369181887746612,2,3
benefits_denial,post_processing,national_origin,demographic_parity_diff,0.0041379711880759895,0,3
benefits_denial,post_processing,national_origin,disparate_impact_ratio,1.0369129104847692,0,3
benefits_denial,post_processing,national_origin,equal_opportunity_diff,0.05672105672105673,0,3
benefits_denial,post_processing,national_origin,equalized_odds_diff,0.05672105672105673,0,3
benefits_denial,post_processing,national_origin,predictive_parity_diff,-0.05820084897962604,0,3
benefits_denial,post_processing,national_origin_x_age,intersectional_demographic_parity_diff,0.04428593644230594,0,3
benefits_denial,post_processing,national_origin_x_race,intersectional_demographic_parity_diff,0.012056567593480347,0,3
benefits_denial,post_processing,race,accuracy_equality_diff,0.09904949637494494,3,3
benefits_denial,post_processing,race,demographic_parity_diff,-0.04593279523727747,3,3
benefits_denial,post_processing,race,disparate_impact_ratio,0.5918949800598917,3,3
benefits_denial,post_processing,race,equal_opportunity_diff,0.0345665233233759,0,3
benefits_denial,post_processing,race,equalized_odds_diff,0.0345665233233759,0,3
benefits_denial,post_processing,race,predictive_parity_diff,-0.09701174886809953,0,3
benefits_denial,post_processing,sex,accuracy_equality_diff,0.10552670976135992,3,3
benefits_denial,post_processing,sex,demographic_parity_diff,-0.0004276445213349985,0,3
benefits_denial,post_processing,sex,disparate_impact_ratio,0.9968503150144374,0,3
benefits_denial,post_processing,sex,equal_opportunity_diff,0.14904909332153912,3,3
benefits_denial,post_processing,sex,equalized_odds_diff,0.14904909332153912,3,3
benefits_denial,post_processing,sex,predictive_parity_diff,-0.4137682069396383,3,3
benefits_denial,post_processing,sex_x_age,intersectional_demographic_parity_diff,0.016262353998203055,0,3
benefits_denial,post_processing,sex_x_national_origin,intersectional_demographic_parity_diff,0.001891131938128866,0,3
benefits_denial,post_processing,sex_x_race,intersectional_demographic_parity_diff,-0.037241591767156024,2,3
benefits_denial,unawareness,age,accuracy_equality_diff,-0.04677223492030639,3,3
benefits_denial,unawareness,age,demographic_parity_diff,0.03264794113499569,1,3
benefits_denial,unawareness,age,disparate_impact_ratio,1.2470800632583385,1,3
benefits_denial,unawareness,age,equal_opportunity_diff,-0.023809523809523836,1,3
benefits_denial,unawareness,age,equalized_odds_diff,-0.023809523809523836,1,3
benefits_denial,unawareness,age,predictive_parity_diff,0.010255092573285903,0,3
benefits_denial,unawareness,age_x_race,intersectional_demographic_parity_diff,-0.03197226502311249,1,3
benefits_denial,unawareness,national_origin,accuracy_equality_diff,0.043289999001896416,3,3
benefits_denial,unawareness,national_origin,demographic_parity_diff,-0.018248744052966042,0,3
benefits_denial,unawareness,national_origin,disparate_impact_ratio,0.8877596449257337,0,3
benefits_denial,unawareness,national_origin,equal_opportunity_diff,0.06028174723826896,0,3
benefits_denial,unawareness,national_origin,equalized_odds_diff,0.06028174723826896,0,3
benefits_denial,unawareness,national_origin,predictive_parity_diff,0.02064211122554771,0,3
benefits_denial,unawareness,national_origin_x_age,intersectional_demographic_parity_diff,0.01387923306317349,0,3
benefits_denial,unawareness,national_origin_x_race,intersectional_demographic_parity_diff,-0.03589805049536592,0,3
benefits_denial,unawareness,race,accuracy_equality_diff,0.07668789682095241,3,3
benefits_denial,unawareness,race,demographic_parity_diff,-0.07439812637044005,3,3
benefits_denial,unawareness,race,disparate_impact_ratio,0.5855966771257153,3,3
benefits_denial,unawareness,race,equal_opportunity_diff,0.004486316733961456,0,3
benefits_denial,unawareness,race,equalized_odds_diff,0.0018671106229752044,1,3
benefits_denial,unawareness,race,predictive_parity_diff,-0.1254945601049893,2,3
benefits_denial,unawareness,sex,accuracy_equality_diff,0.12185237581867843,3,3
benefits_denial,unawareness,sex,demographic_parity_diff,-0.14469710850800607,3,3
benefits_denial,unawareness,sex,disparate_impact_ratio,0.3278798571770218,3,3
benefits_denial,unawareness,sex,equal_opportunity_diff,-0.08745392893999704,2,3
benefits_denial,unawareness,sex,equalized_odds_diff,-0.09912181579639918,3,3
benefits_denial,unawareness,sex,predictive_parity_diff,-0.07544388406070422,1,3
benefits_denial,unawareness,sex_x_age,intersectional_demographic_parity_diff,-0.1266675223548539,3,3
benefits_denial,unawareness,sex_x_national_origin,intersectional_demographic_parity_diff,-0.16254839921798844,3,3
benefits_denial,unawareness,sex_x_race,intersectional_demographic_parity_diff,-0.15860684941753575,3,3
benefits_denial,unawareness_proxy_removal,age,accuracy_equality_diff,-0.050679749075034995,3,3
benefits_denial,unawareness_proxy_removal,age,demographic_parity_diff,0.02891517358500902,3,3
